Reference,Comparison,rouge1,rouge2,rougeL,rougeLsum,bleu_bleu,bleu_precisions,bleu_brevity_penalty,bleu_length_ratio,bleu_translation_length,bleu_reference_length,bert_precision,bert_recall,bert_f1
gpt-4-turbo,gpt-4o,0.43312101910828027,0.3104181431608788,0.33687190375088466,0.33687190375088466,0.23105722558719732,"[0.2924861321230459, 0.2462159434914228, 0.21352852094901564, 0.18535353535353535]",1.0,3.1228346456692915,1983,635,0.7788709700107574,0.7912895083427429,0.7848659753799438
gpt-4-turbo,meta-llama-3.1-8b-instruct,0.48648648648648646,0.27436823104693137,0.27387387387387385,0.27387387387387385,0.262083041699829,"[0.3713892709766162, 0.2807983482450103, 0.2327823691460055, 0.1943487250172295]",1.0,2.289763779527559,1454,635,0.7997671365737915,0.794599324464798,0.7969821989536285
gpt-4o,gpt-4-turbo,0.43312101910828027,0.3104181431608788,0.33687190375088466,0.33687190375088466,0.0865032144943049,"[0.9133858267716536, 0.7697160883280757, 0.6682464454976303, 0.5806962025316456]",0.11969186316021682,0.3202218860312658,635,1983,0.7912895083427429,0.7788709104061127,0.7848658859729767
gpt-4o,meta-llama-3.1-8b-instruct,0.5831960461285008,0.28257284222100054,0.30203185063152116,0.30203185063152116,0.3353251546347361,"[0.8184319119669876, 0.573296627666896, 0.40771349862258954, 0.2832529290144728]",0.6950135522443927,0.7332324760463943,1454,1983,0.7768379926681519,0.7478679299354554,0.7620132803916931
meta-llama-3.1-8b-instruct,gpt-4-turbo,0.48648648648648646,0.27436823104693137,0.27387387387387385,0.27387387387387385,0.16545187667320105,"[0.8503937007874016, 0.6435331230283912, 0.5339652448657188, 0.4462025316455696]",0.27533581536485807,0.43672627235213207,635,1454,0.7945992648601532,0.7997671365737915,0.7969821393489838
meta-llama-3.1-8b-instruct,gpt-4o,0.5831960461285008,0.28257284222100054,0.30203185063152116,0.30203185063152116,0.35366726613225,"[0.600100857286939, 0.4202825428859738, 0.29883897021706207, 0.20757575757575758]",1.0,1.3638239339752407,1983,1454,0.7478679180145263,0.7768379926681519,0.7620132684707641
