Reference,Comparison,rouge1,rouge2,rougeL,rougeLsum,bleu_bleu,bleu_precisions,bleu_brevity_penalty,bleu_length_ratio,bleu_translation_length,bleu_reference_length,bert_precision,bert_recall,bert_f1
gpt-4-turbo,gpt-4o,0.5686274509803921,0.28852459016393445,0.3758169934640523,0.3758169934640523,0.36083269352382524,"[0.5421348314606742, 0.4177215189873418, 0.31971830985915495, 0.23413258110014104]",1.0,1.4710743801652892,712,484,0.7728744745254517,0.7800735831260681,0.7764475047588348
gpt-4-turbo,meta-llama-3.1-8b-instruct,0.4578833693304536,0.21258134490238614,0.3542116630669547,0.3542116630669547,0.27050368864923235,"[0.5982905982905983, 0.3490364025695932, 0.21030042918454936, 0.13978494623655913]",0.9663897732358487,0.9669421487603306,468,484,0.7655981779098511,0.7328317165374756,0.748503714799881
gpt-4o,gpt-4-turbo,0.5686274509803921,0.28852459016393445,0.3758169934640523,0.3758169934640523,0.33173268907300024,"[0.7975206611570248, 0.6149068322981367, 0.470954356846473, 0.34511434511434513]",0.6243311388310393,0.6797752808988764,484,712,0.7800735831260681,0.7728744745254517,0.7764475047588348
gpt-4o,meta-llama-3.1-8b-instruct,0.41530054644808745,0.14990859232175502,0.27322404371584696,0.27322404371584696,0.17667573209262372,"[0.6581196581196581, 0.4004282655246253, 0.22317596566523606, 0.13333333333333333]",0.5937080840748999,0.6573033707865169,468,712,0.7728801369667053,0.7288872301578522,0.7497011125087738
meta-llama-3.1-8b-instruct,gpt-4-turbo,0.4578833693304536,0.21258134490238614,0.3542116630669547,0.3542116630669547,0.27062948760307814,"[0.5785123966942148, 0.33747412008281574, 0.2033195020746888, 0.13513513513513514]",1.0,1.0341880341880343,484,468,0.7328317165374756,0.7655981779098511,0.748503714799881
meta-llama-3.1-8b-instruct,gpt-4o,0.41530054644808745,0.14990859232175502,0.27322404371584696,0.27322404371584696,0.19538480842257552,"[0.43258426966292135, 0.2630098452883263, 0.14647887323943662, 0.08744710860366714]",1.0,1.5213675213675213,712,468,0.7288872003555298,0.7728801667690277,0.749701052904129
