Reference,Comparison,rouge1,rouge2,rougeL,rougeLsum,bleu_bleu,bleu_precisions,bleu_brevity_penalty,bleu_length_ratio,bleu_translation_length,bleu_reference_length,bert_precision,bert_recall,bert_f1
gpt-4-turbo,gpt-4o,0.5974025974025974,0.2958579881656805,0.36127508854781576,0.36127508854781576,0.37166157152552654,"[0.5729499467518637, 0.4275053304904051, 0.3255069370330843, 0.23931623931623933]",1.0,1.3433476394849786,939,699,0.7707213461399078,0.7770907580852509,0.7737762331962585
gpt-4-turbo,meta-llama-3.1-8b-instruct,0.31978319783197834,0.13704206241519676,0.21680216802168026,0.21680216802168026,0.11038040815459485,"[0.2266355140186916, 0.13651238896680692, 0.09073900841908325, 0.052877866167524566]",1.0,3.061516452074392,2140,699,0.7713655233383179,0.7528744041919708,0.7619350850582123
gpt-4o,gpt-4-turbo,0.5974025974025974,0.2958579881656805,0.36127508854781576,0.36127508854781576,0.3543732954515119,"[0.7696709585121603, 0.5744985673352435, 0.4375896700143472, 0.3218390804597701]",0.7093915561738805,0.744408945686901,699,939,0.7770907580852509,0.7707213461399078,0.7737762331962585
gpt-4o,meta-llama-3.1-8b-instruct,0.3309446254071662,0.11741682974559686,0.196742671009772,0.196742671009772,0.1379644306761877,"[0.3121495327102804, 0.17391304347826086, 0.10804490177736202, 0.06176883481516144]",1.0,2.2790202342918,2140,939,0.6274104416370392,0.6869964748620987,0.6461782902479172
meta-llama-3.1-8b-instruct,gpt-4-turbo,0.31978319783197834,0.13704206241519676,0.21680216802168026,0.21680216802168026,0.04306776328500515,"[0.6938483547925608, 0.4183381088825215, 0.2783357245337159, 0.16235632183908047]",0.1272608385320229,0.32663551401869156,699,2140,0.7528744041919708,0.7713655233383179,0.7619350850582123
meta-llama-3.1-8b-instruct,gpt-4o,0.3309446254071662,0.11741682974559686,0.196742671009772,0.196742671009772,0.08758584631898966,"[0.711395101171459, 0.39658848614072495, 0.24653148345784417, 0.14102564102564102]",0.27830984535905284,0.43878504672897195,939,2140,0.6869964748620987,0.6274104416370392,0.6461782902479172
